timeout,active,inactive,run_time,idle_time,sleep_time,timeout_waiting_time,total_time,total_time_no_dpm,transitions_number,transitions_time,transition_energy,total_energy,total_energy_no_dpm
0.0,2.547000,1089.439000,2.556900,1089.350400,0.000000,0.009900,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6934801680,30.1388136000
0.5,2.547000,1089.439000,2.556900,1089.350400,0.000000,0.009900,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6934801680,30.1388136000
1.0,2.547000,1089.439000,2.652800,1089.254500,0.000000,0.105800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6960723450,30.1388136000
1.5,2.547000,1089.439000,2.652800,1089.254500,0.000000,0.105800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6960723450,30.1388136000
2.0,2.547000,1089.439000,2.751700,1089.155600,0.000000,0.204700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6987456120,30.1388136000
2.5,2.547000,1089.439000,2.751700,1089.155600,0.000000,0.204700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.6987456120,30.1388136000
3.0,2.547000,1089.439000,2.850700,1089.056600,0.000000,0.303700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7014215820,30.1388136000
3.5,2.547000,1089.439000,2.850700,1089.056600,0.000000,0.303700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7014215820,30.1388136000
4.0,2.547000,1089.439000,2.949700,1088.957600,0.000000,0.402700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7040975520,30.1388136000
4.5,2.547000,1089.439000,2.949700,1088.957600,0.000000,0.402700,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7040975520,30.1388136000
5.0,2.547000,1089.439000,3.048800,1088.858500,0.000000,0.501800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7067762250,30.1388136000
5.5,2.547000,1089.439000,3.048800,1088.858500,0.000000,0.501800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7067762250,30.1388136000
6.0,2.547000,1089.439000,3.147800,1088.759500,0.000000,0.600800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7094521950,30.1388136000
6.5,2.547000,1089.439000,3.147800,1088.759500,0.000000,0.600800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7094521950,30.1388136000
7.0,2.547000,1089.439000,3.246800,1088.660500,0.000000,0.699800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7121281650,30.1388136000
7.5,2.547000,1089.439000,3.246800,1088.660500,0.000000,0.699800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7121281650,30.1388136000
8.0,2.547000,1089.439000,3.345800,1088.561500,0.000000,0.798800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7148041350,30.1388136000
8.5,2.547000,1089.439000,3.345800,1088.561500,0.000000,0.798800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7148041350,30.1388136000
9.0,2.547000,1089.439000,3.444800,1088.462500,0.000000,0.897800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7174801050,30.1388136000
9.5,2.547000,1089.439000,3.444800,1088.462500,0.000000,0.897800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7174801050,30.1388136000
10.0,2.547000,1089.439000,3.543800,1088.363500,0.000000,0.996800,1091.986500,1091.986000,198,0.079200,0.0019800000,0.7201560750,30.1388136000
